u0a8i82z0postgredb01.unix.vats.local,10.243.208.139
U0A8I82Z0DB01.vats.local,10.243.208.92
U0A8I82Z0DB02.vats.local,10.243.208.93
u0a8i82m2z0pangdb01.unix.vats.local,10.243.209.44
U0A8I82M2Z0DB01.vats.local,10.243.209.28
U0A8I82M2Z0DB02.vats.local,10.243.209.29
I82Z0REPORT01.vats.local,10.243.32.196
P0A8I82Z1BPS01.vats.local,10.243.32.230
P0A8I82Z1BPS02.vats.local,10.243.32.230
P0A8I82Z0DB01.vats.local,10.243.32.164
P0A8I82Z0DB02.vats.local,10.243.32.165
P0A8I82Z0DB03.unix.vats.local,10.243.36.78
P0A8I82Z0DB04.unix.vats.local,10.243.36.78
P0A8I82Z0DB05.unix.vats.local,10.243.36.81
P0A8I82Z0DB06.unix.vats.local,10.243.36.82
p0a8i82z1tmsdb01.unix.vats.local,10.243.32.246 
p0a8i82z1tmsdb02.unix.vats.local,10.243.32.246
p0a8i82z2tmsdb01.unix.vats.local,10.243.33.70
p0a8i82z2tmsdb02.unix.vats.local,10.243.33.70
p0a8i82z1dbtapi01.unix.vats.local,10.243.36.139
p0a8i82z2dbtapi01.unix.vats.local,10.243.36.171
I82Z1SORM3DB01.vats.local,10.243.33.36
I82Z2SORM3DB01.vats.local,10.243.33.164
p0a8i82z2bps01.vats.local,10.243.33.54
p0a8i82z2bps02.vats.local,10.243.33.54
p0a8i82z0lst01.vats.local,10.243.32.166
p0a8i82z0lst02.vats.local,10.243.32.167
p234i82bps02.vats.local,172.30.34.7
p234i82bps01.vats.local,172.30.34.4
